Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
MOD: delay(500 500), type(tTMRRSTO), from(I1.TIMERRES), to(I1.TIMEROUT)
MOD: delay(900 900), type(tOSCEN+tOSCOD), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(400 400), type(tTMRRR), from(I1.TIMERRES), to(I1.OSCOUT)
CHK: delay(300 300), type(tTMRRSTPW), from(I1.TIMERRES), to(I1.TIMERRES)
CHK: delay(500 500), type(tOSCH), from(I1.DYNOSCDIS), to(I1.OSCOUT)
CHK: delay(500 500), type(tOSCSU), from(I1.DYNOSCDIS), to(I1.OSCOUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED0.OUT), to(LED0.PAD)
MOD: delay(45 45), type(tPDi), from(LED0 ), to(LED0.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED1.OUT), to(LED1.PAD)
MOD: delay(45 45), type(tPDi), from(LED1 ), to(LED1.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED2.OUT), to(LED2.PAD)
MOD: delay(45 45), type(tPDi), from(LED2 ), to(LED2.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED3.OUT), to(LED3.PAD)
MOD: delay(45 45), type(tPDi), from(LED3 ), to(LED3.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED4.OUT), to(LED4.PAD)
MOD: delay(45 45), type(tPDi), from(LED4 ), to(LED4.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED5.OUT), to(LED5.PAD)
MOD: delay(45 45), type(tPDi), from(LED5 ), to(LED5.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED6.OUT), to(LED6.PAD)
MOD: delay(45 45), type(tPDi), from(LED6 ), to(LED6.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED7.OUT), to(LED7.PAD)
MOD: delay(45 45), type(tPDi), from(LED7 ), to(LED7.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED8.OUT), to(LED8.PAD)
MOD: delay(45 45), type(tPDi), from(LED8 ), to(LED8.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED9.OUT), to(LED9.PAD)
MOD: delay(45 45), type(tPDi), from(LED9 ), to(LED9.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED10.OUT), to(LED10.PAD)
MOD: delay(45 45), type(tPDi), from(LED10 ), to(LED10.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED11.OUT), to(LED11.PAD)
MOD: delay(45 45), type(tPDi), from(LED11 ), to(LED11.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED12.OUT), to(LED12.PAD)
MOD: delay(45 45), type(tPDi), from(LED12 ), to(LED12.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED13.OUT), to(LED13.PAD)
MOD: delay(45 45), type(tPDi), from(LED13 ), to(LED13.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED14.OUT), to(LED14.PAD)
MOD: delay(45 45), type(tPDi), from(LED14 ), to(LED14.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED15.OUT), to(LED15.PAD)
MOD: delay(45 45), type(tPDi), from(LED15 ), to(LED15.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1a.OUT), to(DIS1a.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1a ), to(DIS1a.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1b.OUT), to(DIS1b.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1b ), to(DIS1b.OUT)
